"Regional","departamentos","tipodeentidad","cat","direccion","estado","horario actual /contingencia","Latitud","Longitud"
"NORTE","ATLANTICO","BARRANQUILLA","A","Calle 93 # 47 – 131","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","11.008165","74.821637"
"NORTE","ATLANTICO","SOLEDAD","B","Autopista Aeropuerto 23 # 13-25 Centro Comercial Plaza Arboleda local 12 y 13","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","10.919513","74.765762"
"NORTE","BOLIVAR","CARTAGENA","B","Calle Arsenal # 8B - 121","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","10.419805","75.547973"
"NORTE","GUAJIRA","RIOHACHA","C","Cll 3 No. 6-73 Barrio Centro","ABIERTO","LUNES A VIERNES
8:00 AM A 11:00 AM 
2:00 PM A 4:00 PM","1.5485385","72.9119699"
"NORTE","MAGDALENA","SANTA MARTA","B","Cl. 15 No. 03-45","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","11.2384451","74.2014801"
"NORTE","SAN ANDRES","SAN ANDRES","E","Av Providencia Centro Comercial New Point Local 201-202","ABIERTO","LUNES A VIERNES
 8:00 AM A 1:OO PM
2:00 PM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","12.5784527","81.7024875"
"NORTE","CORDOBA","MONTERIA","D","Calle 24 No. 12-70 local 1","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","8.74901","75.88162"
"NORTE","SUCRE","SINCELEJO","C","Carrera 14 No. 22 – 13","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","9.303899","75.394204"
"NORTE","CESAR","VALLEDUPAR","B","Cll 16 A No. 12 -67  Barrio Loperena Local 103,104 y 105","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","10.4752113","73.2493294"
"SANTANDERES","SANTANDER","BUCARAMANGA","A","Carrera 36 # 51-48","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","7.114514","73.108511"
"SANTANDERES","SANTANDER","PIEDECUESTA","C","Carrera 15 #3 an  - 10 
Centro  Comercial  de la  Cuesta 
Local 245","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","7.000497","73.054067"
"SANTANDERES","NORTE DE SANTADER","CUCUTA","B","Cll 12 A No 2E-48
 Quinta Velez Caobos","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","7.8877953","72.4991237"
"SANTANDERES","SANTANDER","SAN GIL","F","Cra. 17 #35-19 Colpensiones","ABIERTO","LUNES, MIERCOLES Y VIERNES 8:00 AM A 1:00 PM Y DE 2:00 PM A 4:00 PM. Ultimo viernes de cada mes 7 AM A 2 PM
MARTES Y JUEVES CERRADO","6.55391","73.14136"
"SANTANDERES","NORTE DE SANTADER","OCAÑA","F","Carrera 14 #10-83 local 106 Centro comercial Plazarella,","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","8.23684","73.35342"
"SUR","VALLE DEL CAUCA","AMERICAS","A","Av de las Americas No 22 n - 47","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","3.462316","76.526232"
"SUR","VALLE DEL CAUCA","GUADALUPE","A","Cr. 56 No. 5-80 Av. Guadalupe","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","3.408904","76.546545"
"SUR","VALLE DEL CAUCA","PALMIRA","PI","Carrera 30 # 31-39","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","3.5380794","76.2987883"
"SUR","CAUCA","POPAYAN","B","Cra 7 No 1n-27","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","2.4431089","76.6082306"
"SUR","NARIÑO","PASTO","B","Cll 20 No 26 -38 
Centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","1.2114983","77.2861559"
"SUR","NARIÑO","IPIALES","F","Carrera 6 N° 8-29 Plaza 20 de julio 
Local 1","ABIERTO","LUNES, MIERCOLES Y VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM
Ultimo viernes de cada mes 7 AM A 2 PM
MARTES Y JUEVES CERRADO","0.8232","77.63471"
"SUR","VALLE DEL CAUCA","TULUA","F","Calle 28 # 19 - 38. Centro Comercial Bicentenario Plaza, piso 2 local 14","ABIERTO","LUNES, MIERCOLES Y VIERNES
 8:00 AM A 12:30 M Y 2:00 PM A 5:00 PM
 SABADOS
 8:00 AM A 12:00 M
MARTES Y JUEVES CERRADO","4.08412","76.20181"
"SUR","NARIÑO","TUMACO","PI","Calle Obando K 9b # 13 - 21","ABIERTO","LUNES, MIERCOLES Y VIERNES 8:00 AM A 1:00 PM de 2:00 PM A 4:00 PM
Ultimo viernes de 
cada mes 7 AM A 2 PM 
MARTES Y JUEVES CERRADO","1.80598","78.76527"
"TERRITORIOS NACIONALES","CHOCO","QUIBDO","E","Cra 3 No. 26-111
 Piso 1 
Barrio Roma","ABIERTO","LUNES, MIERCOLES Y VIERNES 8:00 AM A 12:00 M Y DE 2:00 PM A 4:00 PM
MARTES Y JUEVES CERRADO","5.6931178","76.6590563"
"TERRITORIOS NACIONALES","GUANIA","INIRIDA","F","Carrera 7 # 18-21","ABIERTO","LUNES, MIERCOLES Y VIERNES
8:00 AM A 1:00 PM Y DE 2:00 PM A 4:00 PM
MARTES Y JUEVES CERRADO
SABADOS
8:00 AM A 12:00 M","3.866129","67.926963"
"TERRITORIOS NACIONALES","CASANARE","YOPAL","D","Calle 8 # 18-49","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","5.3497342","72.3992094"
"TERRITORIOS NACIONALES","VICHADA","PUERTO CARREÑO","F","Cra 8 No.20-46 Barrio Arturo Bueno","ABIERTO","LUNES, MIERCOLES Y VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM
Ultimo viernes de cada mes 7 AM A 2 PM
MARTES Y JUEVES CERRADO","6.185583","67.482576"
"TERRITORIOS NACIONALES","ARAUCA","ARAUCA","F","Edificio Colpensiones de Arauca Calle 21 No 20 24","ABIERTO","LUNES A VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM
Ultimo viernes de cada mes 7 AM A 2 PM","7.085596","70.757844"
"TERRITORIOS NACIONALES","PUTUMAYO","MOCOA","F","Calle 7 # 5-59 
Barrio Centro.","ABIERTO","LUNES, MIERCOLES Y VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM
Ultimo viernes de cada mes 7 AM A 2 PM
MARTES Y JUEVES CERRADO","1.145592","76.64704"
"TERRITORIOS NACIONALES","VAUPES","MITU","F","Cra 14 No.12-39 
Barrio Centro","ABIERTO","LUNES, MIERCOLES Y VIERNES
8:00 AM A 12:00M Y DE 1:00PM A 4:00PM 
MARTES Y JUEVES CERRADO
 SABADOS
8:00 AM A 12:00 M","1.253471","70.2425951"
"TERRITORIOS NACIONALES","CAQUETA","FLORENCIA","D","Cra 13 No 11-72 
Barrio San Francisco","ABIERTO","LUNES A VIERNES
8:00 AM A 4:00PM
SABADOS
8:00 AM A 12:00 M","1.6141663","75.6124813"
"TERRITORIOS NACIONALES","GUAVIARE","SAN JOSE DEL GUAVIARE","D","TORRE COMERCIAL SANTA CRUZ LOCAL 204 Y 205","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","2.57253","72.64221"
"TERRITORIOS NACIONALES","AMAZONAS","LETICIA","F","Calle 10 No 6-62  local 2 diagonal abatuta","ABIERTO","LUNES, MIERCOLES Y VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM
Ultimo viernes de cada mes 7 AM A 2 PM
MARTES Y JUEVES CERRADO","4.212029","69.938456"
"TERRITORIOS NACIONALES","META","VILLAVICENCIO","B","Carrera 38 # 20 - 66 barrio teusaca","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","4.1573","73.64569"
"TERRITORIOS NACIONALES","META","ACACIAS","D","Calle 14 No. 21-71/ 73","ABIERTO","LUNES MIERCOLES Y VIERNES
 8:00 AM A 1:00 PM Y 2:00 PM A 4:00 PM
MARTES Y JUEVES CERRADO
 SABADOS
 8:00 AM A 12:00 M","3.9864498","73.7584847"
